183696295	Biochemical engineering
184779094	Atomic physics
185544564	Nuclear physics
185592680	Chemistry
186060115	Biological system
187212893	Pediatrics
187320778	Geotechnical engineering
187736073	Management
188027245	Polymer chemistry
188147891	Cognitive science
190253527	Law and economics
191897082	Metallurgy
192562407	Materials science
194828623	Emergency medicine
195094911	Process management
195244886	Ancient history
199104240	Marine engineering
199289684	Mineralogy
199343813	Dentistry
199360897	Programming language
199539241	Law
199639397	Engineering drawing
200601418	Reliability engineering
201995342	Systems engineering
202444582	Pure mathematics
203014093	Immunology
204321447	Natural language processing
205649164	Geography
502942594	Cancer research
505870484	Fishery
509550671	Medical education
510606860	Ceramic materials
512399662	Family medicine
524765639	Water resource management
526734887	Environmental protection
528095902	Pulp and paper industry
539667460	Management science
542102704	Psychotherapy
545542383	Medical emergency
548081761	Waste management
548259974	Audiology
549774020	Welfare economics
556039675	Traditional medicine
556758197	Monetary economics
2522767166	Data science
