l0_name,l1_name,l2_name,l0_id,l1_id,l2_id
Engineering,Aerospace engineering,Active safety,127413603,146978453,127757376
Engineering,Aerospace engineering,Adapter (rocketry),127413603,146978453,2777877137
Engineering,Aerospace engineering,Adaptiv,127413603,146978453,153060869
Engineering,Aerospace engineering,Advanced Cryogenic Evolved Stage,127413603,146978453,2779583101
Engineering,Aerospace engineering,Advanced Inertial Reference Sphere,127413603,146978453,2780261949
Engineering,Aerospace engineering,Advanced driver assistance systems,127413603,146978453,87833898
Engineering,Aerospace engineering,Aerial Common Sensor,127413603,146978453,44196487
Engineering,Aerospace engineering,Aerial reconnaissance,127413603,146978453,185154738
Engineering,Aerospace engineering,Aerial warfare,127413603,146978453,2779971420
Engineering,Aerospace engineering,Aerodrome mapping database,127413603,146978453,2778296501
Engineering,Aerospace engineering,Aerodynamically Alleviated Marine Vehicle,127413603,146978453,2779909077
Engineering,Aerospace engineering,Aerodynamics,127413603,146978453,13393347
Engineering,Aerospace engineering,Aeronautical Information Manual,127413603,146978453,2780605179
Engineering,Aerospace engineering,Aerospace,127413603,146978453,167740415
Engineering,Aerospace engineering,Aerostat,127413603,146978453,2779288144
Engineering,Aerospace engineering,Aerotropolis,127413603,146978453,2781360730
Engineering,Aerospace engineering,Air cargo,127413603,146978453,2778788726
Engineering,Aerospace engineering,Air compressor,127413603,146978453,2779983431
Engineering,Aerospace engineering,Air cooling,127413603,146978453,105873366
Engineering,Aerospace engineering,Air data module,127413603,146978453,2778883693
Engineering,Aerospace engineering,Air traffic control,127413603,146978453,166961238
Engineering,Aerospace engineering,Air-start system,127413603,146978453,2780361687
Engineering,Aerospace engineering,Airband,127413603,146978453,2781301699
Engineering,Aerospace engineering,Airbox,127413603,146978453,2779991568
Engineering,Aerospace engineering,Airbreathing jet engine,127413603,146978453,2780181574
Engineering,Aerospace engineering,Aircraft Communications Addressing and Reporting System,127413603,146978453,123603113
Engineering,Aerospace engineering,Aircraft maintenance,127413603,146978453,107545201
Engineering,Aerospace engineering,Aircrew,127413603,146978453,2775882470
Engineering,Aerospace engineering,Airfield rubber removal,127413603,146978453,2776746915
Engineering,Aerospace engineering,Airfield traffic pattern,127413603,146978453,204673680
Engineering,Aerospace engineering,Airfoil,127413603,146978453,112124176
Engineering,Aerospace engineering,Airframe,127413603,146978453,205167488
Engineering,Aerospace engineering,Airlock,127413603,146978453,203111315
Engineering,Aerospace engineering,Airplane,127413603,146978453,2781407631
Engineering,Aerospace engineering,Airport security,127413603,146978453,180646296
Engineering,Aerospace engineering,Airspeed,127413603,146978453,26572238
Engineering,Aerospace engineering,Alden Research Laboratory,127413603,146978453,2780751684
Engineering,Aerospace engineering,Alpha (navigation),127413603,146978453,2781455349
Engineering,Aerospace engineering,Alsomitra macrocarpa,127413603,146978453,2776444459
Engineering,Aerospace engineering,Angle of incidence (aerodynamics),127413603,146978453,2779439902
Engineering,Aerospace engineering,Annunciator panel,127413603,146978453,105409052
Engineering,Aerospace engineering,Antiroll tanks,127413603,146978453,2776181220
Engineering,Aerospace engineering,Aquaplaning,127413603,146978453,33665396
Engineering,Aerospace engineering,Artificial gravity,127413603,146978453,107009805
Engineering,Aerospace engineering,Aspect ratio,127413603,146978453,161137894
Engineering,Aerospace engineering,Astronautics,127413603,146978453,60808876
Engineering,Aerospace engineering,Atlantic flyingfish,127413603,146978453,2780011680
Engineering,Aerospace engineering,Atmospheric entry,127413603,146978453,6405472
Engineering,Aerospace engineering,Attitude control,127413603,146978453,155710575
Engineering,Aerospace engineering,Attitude indicator,127413603,146978453,146814861
Engineering,Aerospace engineering,Automatic Performance Control,127413603,146978453,2776733715
Engineering,Aerospace engineering,Automobile handling,127413603,146978453,148381915
Engineering,Aerospace engineering,Automobile layout,127413603,146978453,2776182197
Engineering,Aerospace engineering,Automotive industry,127413603,146978453,526921623
Engineering,Aerospace engineering,Autonomous cruise control system,127413603,146978453,2777917076
Engineering,Aerospace engineering,Autopilot,127413603,146978453,18020424
Engineering,Aerospace engineering,Autorotation (fixed-wing aircraft),127413603,146978453,2779045071
Engineering,Aerospace engineering,Aviation,127413603,146978453,74448152
Engineering,Aerospace engineering,Aviation fuel,127413603,146978453,2776776657
Engineering,Aerospace engineering,Aviation light signals,127413603,146978453,2780614344
Engineering,Aerospace engineering,Aviation medicine,127413603,146978453,6439246
Engineering,Aerospace engineering,Avidyne Entegra,127413603,146978453,12157788
Engineering,Aerospace engineering,Avionics,127413603,146978453,15792166
Engineering,Aerospace engineering,BATES,127413603,146978453,2781303124
Engineering,Aerospace engineering,BSTAR,127413603,146978453,2777888320
Engineering,Aerospace engineering,Back pressure,127413603,146978453,84907080
Engineering,Aerospace engineering,Banked turn,127413603,146978453,169007574
Engineering,Aerospace engineering,Bash valve,127413603,146978453,2780644578
Engineering,Aerospace engineering,Bernoulli grip,127413603,146978453,2781119615
Engineering,Aerospace engineering,Bernoulli's principle,127413603,146978453,152361515
Engineering,Aerospace engineering,Beta angle,127413603,146978453,68693881
